session_id,t,x,y,event_type,buttons,button,click_id,target_id,label,phase,phase_progress,extra
2026-02-25_150019,25734.499412,966,0,down,1,left,1,,,1,0,{}
2026-02-25_150019,25734.603527,966,0,up,1,left,1,,,1,0,"{""hold_ms"": """"}"
2026-02-25_150019,25734.675488,966,0,down,1,left,2,,,1,0,{}
2026-02-25_150019,25734.747536,966,0,up,1,left,2,,,1,0,"{""hold_ms"": """"}"
2026-02-25_150019,25738.638041,1871,0,down,1,left,3,,,1,0,{}
2026-02-25_150019,25738.726105,1871,0,session_start,1,,3,,,1,0,"{""mode"": ""NORMAL""}"
2026-02-25_150019,25738.726153,1871,0,move,1,,3,,,1,0,{}
2026-02-25_150019,25738.726263,1871,0,up,1,left,3,,,1,0,"{""hold_ms"": """"}"
2026-02-25_150019,25738.748004,1871,0,move,0,,3,,,1,0,{}
2026-02-25_150019,25738.763962,1871,0,move,0,,3,,,1,0,{}
2026-02-25_150019,25738.773731,1871,0,move,0,,3,,,1,0,{}
2026-02-25_150019,25738.795456,1871,0,move,0,,3,,,1,0,{}
2026-02-25_150019,25738.811045,1871,0,move,0,,3,,,1,0,{}
2026-02-25_150019,25738.827197,1871,0,move,0,,3,,,1,0,{}
2026-02-25_150019,25738.842207,1871,0,move,0,,3,,,1,0,{}
2026-02-25_150019,25738.85818,1871,0,move,0,,3,,,1,0,{}
2026-02-25_150019,25738.874003,1871,0,move,0,,3,,,1,0,{}
2026-02-25_150019,25738.890036,1871,0,move,0,,3,,,1,0,{}
2026-02-25_150019,25738.906056,1871,0,move,0,,3,,,1,0,{}
2026-02-25_150019,25738.922014,1871,0,move,0,,3,,,1,0,{}
2026-02-25_150019,25738.937961,1871,0,move,0,,3,,,1,0,{}
2026-02-25_150019,25738.953434,1871,0,move,0,,3,,,1,0,{}
2026-02-25_150019,25738.968575,1871,0,move,0,,3,,,1,0,{}
2026-02-25_150019,25738.984107,1871,0,move,0,,3,,,1,0,{}
2026-02-25_150019,25739.000044,1871,0,move,0,,3,,,1,0,{}
2026-02-25_150019,25739.015678,1871,0,move,0,,3,,,1,0,{}
2026-02-25_150019,25739.031675,1871,0,move,0,,3,,,1,0,{}
2026-02-25_150019,25739.047313,1871,0,move,0,,3,,,1,0,{}
2026-02-25_150019,25739.062935,1871,0,move,0,,3,,,1,0,{}
2026-02-25_150019,25739.078869,1871,0,move,0,,3,,,1,0,{}
2026-02-25_150019,25739.09416,1871,0,move,0,,3,,,1,0,{}
2026-02-25_150019,25739.110225,1871,0,move,0,,3,,,1,0,{}
2026-02-25_150019,25739.123441,1871,0,move,0,,3,,,1,0,{}
2026-02-25_150019,25739.131499,1869,0,move,0,,3,,,1,0,{}
2026-02-25_150019,25739.140144,1869,0,move,0,,3,,,1,0,{}
2026-02-25_150019,25739.148198,1863,0,move,0,,3,,,1,0,{}
2026-02-25_150019,25739.156244,1858,0,move,0,,3,,,1,0,{}
2026-02-25_150019,25739.164281,1851,0,move,0,,3,,,1,0,{}
2026-02-25_150019,25739.173918,1851,0,move,0,,3,,,1,0,{}
2026-02-25_150019,25739.187522,1851,0,move,0,,3,,,1,0,{}
2026-02-25_150019,25739.195606,1815,0,move,0,,3,,,1,0,{}
2026-02-25_150019,25739.203696,1801,0,move,0,,3,,,1,0,{}
2026-02-25_150019,25739.21174,1755,0,move,0,,3,,,1,0,{}
2026-02-25_150019,25739.219793,1724,0,move,0,,3,,,1,0,{}
2026-02-25_150019,25739.229434,1724,0,move,0,,3,,,1,0,{}
2026-02-25_150019,25739.245455,1650,0,move,0,,3,,,1,0,{}
2026-02-25_150019,25739.253499,1650,0,move,0,,3,,,1,0,{}
2026-02-25_150019,25739.262165,1564,14,move,0,,3,,,1,0,{}
2026-02-25_150019,25739.270206,1460,45,move,0,,3,,,1,0,{}
2026-02-25_150019,25739.278252,1418,59,move,0,,3,,,1,0,{}
