trial_id,phase,label,outcome,target_size,spawn_ts,end_ts,time_to_end_ms,approach_time_ms,tail_time_ms,dwell_in_target_ms,miss_clicks,center_x,center_y,end_x,end_y,end_dx,end_dy,end_radial_error,overshoot_px,max_speed_px_s,median_speed_px_s,stop_time_ms,pause_count,accel_p50,jerk_p50,jerk_p90,heading_total_change,curv_p50,curv_p90,pre_click_ms,click_hold_ms,points_in_trial
1,1,P1_TARGET,HIT,46,25740.831905,25741.812017,980.112,845.71,134.403,135.742,0,1653.0,357.0,1649.0,358.0,-4.0,1.0,4.123,33.52,7129.785,370.38,448.231,0,17207.768,4332791.07,33540299.781,7.79879,0.001025233,0.113755999,134.161,0.0,94
2,1,P1_TARGET,HIT,46,25742.537948,25743.285989,748.041,663.65,84.391,84.356,0,1658.0,628.0,1666.0,629.0,8.0,1.0,8.062,38.812,7955.686,447.978,311.12,0,30656.253,4311740.155,30637160.005,10.790016,0.000670285,0.125097008,84.176,0.0,75
3,1,P1_TARGET,HIT,46,25744.008008,25744.660267,652.258,571.657,80.602,88.167,0,373.0,487.0,379.0,482.0,6.0,-5.0,7.81,30.203,5716.417,631.29,254.319,1,18735.015,4271049.815,50762372.844,7.454606,0.0,0.039249115,80.373,0.0,64
4,1,P1_TARGET,HIT,46,25745.418197,25746.090148,671.951,281.544,390.406,106.074,0,1072.0,519.0,1070.0,516.0,-2.0,-3.0,3.606,30.0,3254.72,222.103,317.995,0,13666.724,2600100.756,20978029.656,5.412822,0.0,0.044042019,390.169,0.0,58
5,1,P1_TARGET,HIT,46,25746.408007,25747.100246,692.239,623.833,68.406,69.917,0,180.0,518.0,198.0,508.0,18.0,-10.0,20.591,14.75,7900.248,904.148,290.936,0,21929.507,5754726.552,42079836.362,5.526888,0.0,0.019201338,68.178,0.0,67
6,1,P1_TARGET,HIT,46,25747.770044,25748.604179,834.135,418.333,415.802,121.461,1,449.0,258.0,429.0,253.0,-20.0,-5.0,20.616,16.721,8584.752,373.139,473.513,0,31121.703,5742396.661,56053588.89,7.956414,0.0,0.009267338,415.501,0.0,73
7,1,P1_TARGET,HIT,46,25749.1162,25749.732678,616.478,551.845,64.633,64.712,0,548.0,632.0,548.0,628.0,0.0,-4.0,4.0,35.623,3586.468,527.508,207.702,0,32779.11,5631717.913,26080439.177,6.725208,0.000702413,0.054920791,64.395,0.0,59
8,1,P1_TARGET,HIT,46,25750.208203,25751.022598,814.394,406.481,407.914,105.825,1,1424.0,524.0,1433.0,525.0,9.0,1.0,9.055,29.996,6089.831,372.81,345.208,0,28426.079,4866010.57,29776374.595,7.687904,0.0,0.042551738,407.689,0.0,78
9,1,P1_TARGET,HIT,46,25751.472338,25752.22221,749.872,394.38,355.492,63.682,1,810.0,251.0,791.0,252.0,-19.0,1.0,19.026,18.67,3590.435,278.045,248.63,0,18631.027,3847640.516,17774028.23,10.6824,0.0,0.153540622,355.273,0.0,77
10,1,P1_TARGET,HIT,46,25752.704276,25753.374406,670.129,547.757,122.373,115.161,0,1713.0,414.0,1734.0,411.0,21.0,-3.0,21.213,31.622,4786.291,871.091,201.427,1,21606.732,3865244.665,18749299.099,7.087857,0.000281017,0.036387177,122.069,0.0,65
11,1,P1_TARGET,HIT,46,25753.970532,25754.662525,691.993,603.635,88.359,93.493,0,253.0,291.0,251.0,288.0,-2.0,-3.0,3.606,34.109,9758.6,709.309,236.297,0,44126.512,10955685.727,42748017.315,5.472212,0.001257729,0.055049559,88.129,0.0,70
