run_dir,created_local,seed,fixed_seed,fixed_order,session_trials,sample_ms,trials_logged,segments_logged
mouse_profile\2026-02-25\2026-02-25_095554,2026-02-25_095659,1337,True,True,60,8,60,0
mouse_profile\2026-02-25\2026-02-25_122441,2026-02-25_123512,1337,True,True,60,8,0,0
mouse_profile\2026-02-25\2026-02-25_124524,2026-02-25_124613,1337,True,True,60,8,60,0
mouse_profile\2026-02-25\2026-02-25_124658,2026-02-25_124726,1337,True,True,60,8,0,0
mouse_profile\2026-02-25\2026-02-25_124855,2026-02-25_124924,1337,True,True,60,8,0,2
mouse_profile\2026-02-25\2026-02-25_125623,2026-02-25_125648,1337,True,True,60,8,1,0
mouse_profile\2026-02-25\2026-02-25_130901,2026-02-25_130952,1337,True,True,60,8,60,0
mouse_profile\2026-02-25\2026-02-25_130956,2026-02-25_131058,1337,True,True,60,8,60,1
mouse_profile\2026-02-25\2026-02-25_131101,2026-02-25_131331,1337,True,True,60,8,60,1
mouse_profile\2026-02-25\2026-02-25_131334,2026-02-25_131355,1337,True,True,60,8,0,1
mouse_profile\2026-02-25\2026-02-25_134040,2026-02-25_134043,1337,True,True,60,8,0,0
mouse_profile\2026-02-25\2026-02-25_134049,2026-02-25_134323,1337,True,True,80,8,80,0
mouse_profile\2026-02-25\2026-02-25_134049,2026-02-25_134415,1337,True,True,80,8,80,0
