session_id,t,x,y,event_type,buttons,button,click_id,target_id,label,phase,extra
2026-02-27_163301,4563.640518,719,444,down,1,left,1,0,BASE,0,{}
2026-02-27_163301,4563.719791,719,444,up,1,left,1,,,,"{""hold_ms"": 79.272}"
2026-02-27_163301,4564.515976,683,356,session_start,0,,1,,,,"{""mode"": ""NORMAL""}"
2026-02-27_163301,4564.516024,683,356,move,0,,1,,,,{}
2026-02-27_163301,4564.528072,683,356,move,0,,1,,,,{}
2026-02-27_163301,4564.544164,684,356,move,0,,1,,,,{}
2026-02-27_163301,4564.559756,685,357,move,0,,1,,,,{}
2026-02-27_163301,4564.570865,687,358,move,0,,1,,,,{}
2026-02-27_163301,4564.590751,691,361,move,0,,1,,,,{}
2026-02-27_163301,4564.606489,695,366,move,0,,1,,,,{}
2026-02-27_163301,4564.621762,699,369,move,0,,1,,,,{}
2026-02-27_163301,4564.629927,703,372,move,0,,1,,,,{}
2026-02-27_163301,4564.638116,703,372,move,0,,1,,,,{}
2026-02-27_163301,4564.65284,706,376,move,0,,1,,,,{}
2026-02-27_163301,4564.661658,706,376,move,0,,1,,,,{}
2026-02-27_163301,4564.678647,709,381,move,0,,1,,,,{}
2026-02-27_163301,4564.686871,713,391,move,0,,1,,,,{}
2026-02-27_163301,4564.695416,713,391,move,0,,1,,,,{}
2026-02-27_163301,4564.71099,720,405,move,0,,1,,,,{}
2026-02-27_163301,4564.727948,723,413,move,0,,1,,,,{}
2026-02-27_163301,4564.743997,723,416,move,0,,1,,,,{}
2026-02-27_163301,4564.760928,723,419,move,0,,1,,,,{}
2026-02-27_163301,4564.778878,724,423,move,0,,1,,,,{}
2026-02-27_163301,4564.793205,724,425,move,0,,1,,,,{}
2026-02-27_163301,4564.808801,724,425,move,0,,1,,,,{}
2026-02-27_163301,4564.824122,724,426,move,0,,1,,,,{}
2026-02-27_163301,4564.83963,724,426,move,0,,1,,,,{}
2026-02-27_163301,4564.855518,724,426,move,0,,1,,,,{}
2026-02-27_163301,4564.871362,724,426,move,0,,1,,,,{}
2026-02-27_163301,4564.886607,724,426,move,0,,1,,,,{}
2026-02-27_163301,4564.90208,724,426,move,0,,1,,,,{}
2026-02-27_163301,4564.917791,724,426,target_spawn,1,,2,1,P1_TARGET,1,"{""label"": ""P1_TARGET"", ""size"": 46}"
2026-02-27_163301,4564.917816,724,426,down,1,left,2,0,BASE,0,{}
2026-02-27_163301,4564.917855,724,426,move,1,,2,1,P1_TARGET,1,{}
2026-02-27_163301,4564.933264,724,426,move,1,,2,1,P1_TARGET,1,{}
