trial_id,phase,label,outcome,target_size,spawn_ts,end_ts,time_to_end_ms,approach_time_ms,tail_time_ms,dwell_in_target_ms,miss_clicks,center_x,center_y,end_x,end_y,end_dx,end_dy,end_radial_error,overshoot_px,max_speed_px_s,median_speed_px_s,stop_time_ms,pause_count,accel_p50,jerk_p50,jerk_p90,heading_total_change,curv_p50,curv_p90,pre_click_ms,click_hold_ms,points_in_trial
1,1,P1_TARGET,HIT,46,5454.69218,5455.504591,812.411,540.015,272.396,278.962,0,1009.0,611.0,1012.0,609.0,3.0,-2.0,3.606,31.23,3889.559,702.409,419.865,1,4588.829,903264.409,14962028.031,7.60687,0.0,0.121870278,173.243,99.149,55
2,1,P1_TARGET,HIT,46,5455.887276,5456.554229,666.953,432.561,234.393,236.767,0,726.0,483.0,730.0,498.0,4.0,15.0,15.524,18.583,1237.675,878.628,549.349,0,0.0,0.0,1526306.844,3.253054,0.0,0.003846722,145.931,88.458,44
3,1,P1_TARGET,HIT,46,5456.884311,5457.670839,786.528,578.031,208.497,217.466,0,517.0,619.0,510.0,630.0,-7.0,11.0,13.038,29.121,2717.314,528.967,351.786,0,4131.899,807863.398,6243256.874,6.765214,0.001391774,0.048995733,125.982,82.513,51
4,1,P1_TARGET,HIT,46,5458.098498,5459.073988,975.491,700.872,274.619,280.932,0,1191.0,321.0,1205.0,320.0,14.0,-1.0,14.036,23.977,7756.564,286.736,432.787,0,7019.159,626935.055,3802370.247,12.352982,0.0,0.369193365,154.673,119.944,65
5,1,P1_TARGET,HIT,46,5459.651298,5460.408883,757.585,564.794,192.791,202.522,0,975.0,513.0,978.0,520.0,3.0,7.0,7.616,26.246,4014.949,377.508,393.443,0,4026.611,567493.061,7485236.703,5.282478,0.0,0.103674757,87.407,105.382,51
6,1,P1_TARGET,HIT,46,5460.858515,5461.752058,893.544,743.774,149.769,159.016,0,246.0,240.0,261.0,228.0,15.0,-12.0,19.209,20.11,7211.774,462.071,385.395,1,8016.075,866085.064,6590088.612,5.989487,0.000625127,0.046845184,28.776,120.99,59
7,1,P1_TARGET,HIT,46,5462.288844,5462.974516,685.672,438.4,247.272,249.583,0,801.0,321.0,809.0,324.0,8.0,3.0,8.544,22.713,2221.381,244.553,367.556,0,856.201,221396.959,4081449.143,3.510744,0.0,0.035264734,142.224,105.046,46
8,1,P1_TARGET,HIT,46,5463.25124,5464.106952,855.712,442.747,412.964,421.171,0,658.0,654.0,663.0,668.0,5.0,14.0,14.866,13.627,2674.616,321.477,474.088,0,7880.426,824134.599,7311541.927,11.730277,0.0,0.136565151,314.546,98.416,60
9,1,P1_TARGET,HIT,46,5464.52719,5465.36849,841.3,424.043,417.257,422.408,0,942.0,509.0,960.0,514.0,18.0,5.0,18.682,14.56,3225.667,194.069,460.163,2,3426.248,246642.766,9294553.995,7.086495,0.0,0.058600367,303.69,113.565,57
10,1,P1_TARGET,HIT,46,5465.943319,5466.799733,856.414,523.391,333.023,325.729,0,1050.0,303.0,1051.0,299.0,1.0,-4.0,4.123,33.222,3667.756,848.716,520.081,1,0.0,350177.401,12524999.825,5.780885,0.0,0.03109718,219.829,113.192,58
11,1,P1_TARGET,HIT,46,5467.344815,5468.531613,1186.798,997.945,188.854,187.505,0,1115.0,430.0,1128.0,444.0,13.0,14.0,19.105,19.792,6536.074,577.047,382.857,0,11704.483,1487626.153,15987419.513,10.69476,0.000259722,0.054110981,92.295,96.557,78
12,1,P1_TARGET,HIT,46,5469.116129,5469.768538,652.409,481.491,170.918,173.7,0,773.0,445.0,756.0,457.0,-17.0,12.0,20.809,17.31,1145.602,159.298,406.198,0,0.0,258414.192,2580191.297,6.062267,0.0,0.226928946,51.183,119.732,43
13,1,P1_TARGET,HIT,46,5470.264119,5471.04395,779.831,566.108,213.723,219.679,0,537.0,500.0,531.0,506.0,-6.0,6.0,8.485,30.891,2947.27,420.257,388.941,0,4179.925,542933.705,4528460.86,8.966169,0.0,0.066563012,78.435,135.286,51
14,1,P1_TARGET,HIT,46,5471.35836,5472.175815,817.456,555.516,261.94,263.08,0,312.0,207.0,312.0,206.0,0.0,-1.0,1.0,35.401,4685.753,554.438,376.146,0,4624.332,571147.039,14701571.579,7.957308,0.0,0.048605686,172.11,89.827,56
15,1,P1_TARGET,HIT,46,5472.709092,5473.578371,869.278,596.572,272.706,279.291,0,441.0,618.0,449.0,615.0,8.0,-3.0,8.544,27.595,4997.872,233.221,377.597,1,4231.951,527073.889,13312310.821,8.313109,0.0,0.134547676,178.122,94.582,58
16,1,P1_TARGET,HIT,46,5474.239802,5475.415939,1176.137,434.044,742.093,50.695,1,335.0,478.0,359.0,479.0,24.0,1.0,24.021,15.03,5557.569,450.34,529.556,0,8451.58,1485893.801,12861309.547,16.387213,0.0,0.309437904,0.0,0.0,83
17,1,P1_TARGET,HIT,46,5476.189838,5476.983757,793.918,571.168,222.75,235.612,0,890.0,419.0,879.0,411.0,-11.0,-8.0,13.601,24.451,2127.708,354.699,383.139,0,3742.732,532995.948,3712019.636,4.614461,0.0,0.106211412,72.583,150.166,53
18,1,P1_TARGET,HIT,46,5477.510854,5478.47631,965.456,742.535,222.921,226.056,0,165.0,588.0,181.0,578.0,16.0,-10.0,18.868,15.614,4658.547,450.118,351.356,0,6682.17,1029701.694,6192408.695,8.900713,0.0,0.042136456,79.449,143.47,64
19,1,P1_TARGET,HIT,46,5479.009362,5479.991433,982.071,416.168,565.903,240.196,0,388.0,490.0,389.0,488.0,1.0,-2.0,2.236,37.79,4956.785,230.068,554.441,0,4281.258,572247.36,8921235.574,8.555785,0.0,0.205556341,422.194,143.707,67
20,1,P1_TARGET,HIT,46,5480.5379,5481.288101,750.201,506.438,243.763,250.835,0,638.0,270.0,634.0,267.0,-4.0,-3.0,5.0,24.071,3538.858,306.037,406.336,0,1011.048,266616.684,5304488.55,4.340483,0.0,0.02129548,131.837,111.924,52
21,1,P1_TARGET,HIT,46,5481.61191,5482.754132,1142.222,998.504,143.718,145.258,0,612.0,367.0,626.0,362.0,14.0,-5.0,14.866,24.031,793.045,287.812,588.419,1,3936.084,377456.249,4910290.104,16.75704,0.0,0.214691801,46.597,97.118,78
22,1,P1_TARGET,HIT,46,5483.065759,5484.153551,1087.792,879.081,208.71,201.934,1,1225.0,514.0,1231.0,510.0,6.0,-4.0,7.211,35.151,7762.179,547.086,585.358,0,5434.975,852073.961,15135867.692,9.589866,0.0,0.05519022,117.698,91.01,74
23,1,P1_TARGET,HIT,46,5485.008738,5485.969048,960.31,792.006,168.303,172.264,1,842.0,616.0,848.0,618.0,6.0,2.0,6.325,33.051,1795.493,495.492,577.215,0,2828.959,438435.121,6860217.895,7.844134,0.0,0.035805857,107.304,60.997,66
24,1,P1_TARGET,HIT,46,5486.478686,5487.363994,885.308,477.297,408.011,241.991,0,130.0,457.0,135.0,445.0,5.0,-12.0,13.0,16.732,12389.242,413.991,323.993,0,8156.071,1254327.869,9436490.495,11.537564,0.0,0.257715273,303.401,104.608,59
25,1,P1_TARGET,HIT,46,5487.948857,5488.600648,651.791,442.998,208.792,216.489,0,711.0,314.0,720.0,330.0,9.0,16.0,18.358,21.961,1451.962,371.63,387.223,1,0.0,277098.605,4131308.71,5.497787,0.0,0.068173311,118.628,90.162,43
26,1,P1_TARGET,HIT,46,5488.975656,5489.84843,872.774,729.028,143.746,155.492,0,1077.0,332.0,1067.0,333.0,-10.0,1.0,10.05,24.663,4776.523,444.006,307.588,1,7851.316,650669.797,19866925.247,13.718755,0.003019616,0.555360367,6.323,137.421,59
27,1,P1_TARGET,HIT,46,5490.544571,5491.460776,916.205,613.7,302.505,308.676,0,1148.0,239.0,1140.0,246.0,-8.0,7.0,10.63,15.811,6971.1,670.982,335.879,0,16713.254,2250553.426,45005584.145,10.687114,0.000733897,0.157505914,183.853,118.65,65
28,1,P1_TARGET,HIT,46,5492.201609,5493.101776,900.168,705.619,194.548,206.475,0,1025.0,526.0,1040.0,524.0,15.0,-2.0,15.133,20.56,5978.131,573.248,345.419,1,14334.007,1465897.498,20746431.933,8.78856,6.5021e-05,0.096913298,96.333,98.214,62
